CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS
9162,ACCT 200,1,Accounting Concepts,3,,Lec,MWF,0900-0950,LUTR 137,Brooks  Abby-Gayle,1,Open
8002,ACCT 201,1,Prin of Account I: Financial,3,,Lec,MWF,0800-0850,LUTR 264,Lingenfelter  Gabriele,0,Closed
8003,ACCT 201,2,Prin of Account I: Financial,3,,Lec,MWF,0900-0950,LUTR 264,Lingenfelter  Gabriele,1,Open
8004,ACCT 201,3,Prin of Account I: Financial,3,,Lec,MW,1600-1715,LUTR 372,Frucot  Veronique,0,Closed
8014,ACCT 202,10,Prin of Account II: Managerial,3,,Lec,MWF,1500-1550,LUTR 372,Staff  CNU,10,Open
8006,ACCT 202,2,Prin of Account II: Managerial,3,,Lec,TR,0800-0915,LUTR 347,Staff  CNU,4,Open
8007,ACCT 202,3,Prin of Account II: Managerial,3,,Lec,TR,0930-1045,LUTR 347,Staff  CNU,1,Open
8008,ACCT 202,4,Prin of Account II: Managerial,3,,Lec,MWF,1000-1050,LUTR 347,Brooks  Abby-Gayle,0,Closed
8009,ACCT 202,5,Prin of Account II: Managerial,3,,Lec,MWF,1300-1350,LUTR 242,Chung  Philip,0,Closed
8010,ACCT 202,6,Prin of Account II: Managerial,3,,Lec,MWF,1400-1450,LUTR 372,Staff  CNU,4,Open
8011,ACCT 202,7,Prin of Account II: Managerial,3,,Lec,TR,1500-1615,LUTR 137,Staff  CNU,1,Open
8012,ACCT 202,8,Prin of Account II: Managerial,3,,Lec,TR,1330-1445,LUTR 264,Morris  Joseph,0,Closed
8013,ACCT 202,9,Prin of Account II: Managerial,3,,Lec,TR,1500-1615,LUTR 264,Morris  Joseph,0,Closed
8015,ACCT 301,1,Intermediate Accounting I,3,,Lec,MW,1800-1915,LUTR 372,Frucot  Veronique,10,Open
8016,ACCT 302,1,Intermediate Accounting II,3,,Lec,MWF,1200-1250,LUTR 142,Brooks  Abby-Gayle,0,Closed
8017,ACCT 302,2,Intermediate Accounting II,3,,Lec,MWF,1300-1350,LUTR 142,Brooks  Abby-Gayle,0,Closed
8018,ACCT 303,1,Cost/Managerial Accounting,3,,Lec,MWF,1000-1050,MCM 164,Chung  Philip,1,Open
8019,ACCT 303,2,Cost/Managerial Accounting,3,,Lec,MWF,1100-1150,MCM 210,Chung  Philip,0,Closed
8021,ACCT 401,1,Taxation,3,,Lec,MW,1600-1715,LUTR 347,Morris  Joseph,0,Closed
8022,ACCT 402,1,Advanced Taxation,3,,Lec,MW,1800-1915,LUTR 347,Morris  Joseph,0,Closed
8023,ACCT 404,1,Volunteer Income Tax Assist,1,,Int,,,ARR ,Lingenfelter  Gabriele,0,Closed
8024,ACCT 405,W1,WI: Auditing,3,  WI,Lec,MWF,1100-1150,LUTR 264,Lingenfelter  Gabriele,0,Closed
8025,ACCT 451,1,Govt &amp; Nonprof Acctng &amp; Topics,3,,Lec,MW,1930-2045,LUTR 372,Frucot  Veronique,2,Open
8026,ACCT 480,1,Internship in Accounting,3,,Int,,,ARR ,Staff  CNU,0,Closed
8396,AMST 100,2,The American Experiment,3,  AIWT,Lec,MWF,0900-0950,LUTR 269,Hadley  Travis,0,Closed
8397,AMST 100,3,The American Experiment,3,  AIWT,Lec,MWF,1000-1050,LUTR 269,Hadley  Travis,0,Closed
8398,AMST 100,4,The American Experiment,3,  AIWT,Lec,MWF,1400-1450,LUTR 269,Hadley  Travis,0,Closed
8399,AMST 100,5,The American Experiment,3,  AIWT,Lec,MWF,1500-1550,LUTR 269,Hadley  Travis,0,Closed
8400,AMST 100,6,The American Experiment,3,  AIWT,Lec,TR,0930-1045,MCM 362,White  William,0,Closed
8401,AMST 100,7,The American Experiment,3,  AIWT,Lec,TR,1100-1215,MCM 357,White  William,0,Closed
9171,AMST 120,1,Encounters w/ the Constitution,3,,Lec,MW,1800-1915,FORBES 3014,Johnson  Richard,0,Closed
8402,AMST 200,1,Evolution-American Experiment,3,  AIII  ,Lec,TR,1930-2045,LUTR 170,Kundmueller  Michelle,0,Closed
8403,AMST 200,2,Evolution-American Experiment,3,  AIII  ,Lec,TR,1630-1745,LUTR 264,Kundmueller  Michelle,1,Open
8408,AMST 300,1,The American Exp: Global Infl,3,  AIGM,Lec,TR,1630-1745,LUTR 131,McCarthy  William,0,Closed
8409,AMST 300,2,The American Exp: Global Infl,3,  AIGM,Lec,TR,1800-1915,LUTR 131,McCarthy  William,1,Open
8411,AMST 395,2,SP TPC: Greek Life in American,3,,Lec,TR,1800-1915,LUTR 111,Hughes  Kevin,1,Open
8412,AMST 490,W1,WI: Capstone Sem-Amer Studies,3,  WI,Lec,TR,0930-1045,MCM 300D,Busch  Elizabeth,0,Closed
8413,AMST 490,W2,WI: Capstone Sem-Amer Studies,3,  WI,Lec,TR,1100-1215,MCM 300D,Busch  Elizabeth,0,Closed
8481,ANTH 200,1,Human Adaptation,3,  AINW,Lec,MWF,1000-1050,LUTR 170,Gustafsson  Mai,0,Closed
8482,ANTH 200,2,Human Adaptation,3,  AINW,Lec,MWF,1100-1150,LUTR 170,Gustafsson  Mai,0,Closed
8483,ANTH 203,1,Cultural Anthropology,3,AIII,Lec,MWF,1400-1450,LUTR 142,Loy  Christopher,0,Closed
8484,ANTH 203,2,Cultural Anthropology,3,AIII,Lec,MWF,1500-1550,LUTR 142,Loy  Christopher,2,Open
8485,ANTH 330,1,Language and Culture,3,  AIGM,Lec,MWF,1200-1250,FORBES 2070A,Loy  Christopher,0,Closed
8488,ANTH 491,1,Practicum in Anthropology,3,,Pra,,,ARR ,Staff  CNU,0,Closed
8783,ARAB 102,1,Beginning Arabic II,3,,Lec,MWF,1000-1050,MCM 366,Obeid  Diana,0,Closed
8785,ARAB 102,2,Beginning Arabic II,3,,Lec,MWF,1100-1150,MCM 364,Obeid  Diana,0,Closed
9344,ARAB 195,1,Special Topics,1,,Lec,W,1200-1250,MCM 257,Obeid  Diana,10,Open
9346,ARAB 195,2,Special Topics,1,,Lec,M,1200-1250,MCM 257,Obeid  Diana,2,Open
8786,ARAB 202,1,Intermediate Arabic II,3,  LLF,Lec,MWF,1400-1450,MCM 314,Obeid  Diana,9,Open
9368,ARAB 295,1,Special Topics,1,  LLF,Lec,F,1200-1250,MCM 257,Obeid  Diana,13,Open
8618,BCHM 395,1,Special Topics,3,,Lec,MWF,1100-1150,FORBES 2015,Lasseter  Benjamin,0,Closed
8619,BCHM 415,1,Biochemistry II,3,,Lec,MWF,0900-0950,FORBES 3012,Gruber  Todd,20,Open
8620,BCHM 415L,1,Biochemistry II Lab,1,,Lab,T,1330-1720,FORBES 1015,Lasseter  Benjamin,11,Open
8622,BCHM 415L,2,Biochemistry II Lab,1,,Lab,W,1300-1650,FORBES 1015,Lasseter  Benjamin,15,Open
8623,BIOL 108,1,General Biology II,3,  AINW,Lec,TR,1800-1915,FORBES 1022,Jaworski  Kortney,0,Closed
8625,BIOL 109L,1,General Biology Laboratory,1,  AINW,Lab,M,1400-1550,FORBES 1027,Loftis  Jon,0,Closed
8627,BIOL 109L,2,General Biology Laboratory,1,  AINW,Lab,M,1600-1750,FORBES 1027,Loftis  Jon,0,Closed
8628,BIOL 109L,3,General Biology Laboratory,1,  AINW,Lab,M,1800-1950,FORBES 1027,Loftis  Jon,0,Closed
8629,BIOL 109L,4,General Biology Laboratory,1,  AINW,Lab,T,1800-1950,FORBES 1027,Lundquist  Adam,0,Closed
8630,BIOL 109L,5,General Biology Laboratory,1,  AINW,Lab,W,1800-1950,FORBES 1027,Deschenes  Michelle,0,Closed
8631,BIOL 109L,6,General Biology Laboratory,1,  AINW,Lab,R,1800-1950,FORBES 1027,Sweet  Krista,0,Closed
8632,BIOL 109L,7,General Biology Laboratory,1,  AINW,Lab,M,2000-2150,FORBES 1027,Loftis  Jon,0,Closed
8633,BIOL 109L,8,General Biology Laboratory,1,  AINW,Lab,T,2000-2150,FORBES 1027,Lundquist  Adam,0,Closed
