CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"7582","ACCT 201","1","Prin of Account I: Financial","3","","Lec","MWF","0800-0850","LUTR 376","Caldwell, John","0","Closed",
"7620","ACCT 201","10","Prin of Account I: Financial","3","","Lec","TR","1330-1445","LUTR 242","Lindquist, Adria","0","Closed",
"7621","ACCT 201","11","Prin of Account I: Financial","3","","Lec","TR","1500-1615","LUTR 242","Lindquist, Adria","2","Open",
"7622","ACCT 201","12","Prin of Account I: Financial","3","","Lec","TR","1500-1615","LUTR 123","Morris, Joseph","0","Closed",
"7623","ACCT 201","13","Prin of Account I: Financial","3","","Lec","TR","1630-1745","LUTR 123","Morris, Joseph","0","Closed",
"7611","ACCT 201","2","Prin of Account I: Financial","3","","Lec","MWF","0900-0950","LUTR 376","Caldwell, John","1","Open",
"7612","ACCT 201","3","Prin of Account I: Financial","3","","Lec","MWF","1000-1050","LUTR 269","Lingenfelter, Gabriele","0","Closed",
"7613","ACCT 201","4","Prin of Account I: Financial","3","","Lec","MWF","0900-0950","FORBES 3012","Brooks, Abby-Gayle","0","Closed",
"7615","ACCT 201","5","Prin of Account I: Financial","3","","Lec","MWF","1000-1050","FORBES 3014","Brooks, Abby-Gayle","0","Closed",
"7616","ACCT 201","6","Prin of Account I: Financial","3","","Lec","MWF","1200-1250","FORBES 3012","Brooks, Abby-Gayle","0","Closed",
"7617","ACCT 201","7","Prin of Account I: Financial","3","","Lec","MW","1600-1715","LUTR 372","Morris, Joseph","0","Closed",
"7618","ACCT 201","8","Prin of Account I: Financial","3","","Lec","",""," ","","0","Closed",
"7619","ACCT 201","9","Prin of Account I: Financial","3","","Lec","MWF","1200-1250","LUTR 105","Caldwell, John","0","Closed",
"8026","ACCT 201","VTC","Prin of Account I: Financial","3","","Lec","",""," ","","0","Closed",
"7624","ACCT 202","1","Prin of Account II: Managerial","3","","Lec","TR","1500-1615","FORBES 2070C","Chung, Philip","1","Open",
"7625","ACCT 202","2","Prin of Account II: Managerial","3","","Lec","TR","1630-1745","FORBES 2070C","Chung, Philip","2","Open",
"7626","ACCT 301","1","Intermediate Accounting I","3","","Lec","TR","1100-1215","LUTR 269","Frucot, Veronique","0","Closed",
"7627","ACCT 301","2","Intermediate Accounting I","3","","Lec","TR","1630-1745","LUTR 170","Frucot, Veronique","0","Closed",
"7629","ACCT 302","1","Intermediate Accounting II","3","","Lec","MWF","1300-1350","FORBES 3012","Brooks, Abby-Gayle","4","Open",
"7630","ACCT 303","1","Cost/Managerial Accounting","3","","Lec","TR","1100-1215","LUTR 137","Chung, Philip","0","Closed",
"7631","ACCT 401","1","Taxation","3","","Lec","MW","1800-1915","LUTR 372","Morris, Joseph","0","Closed",
"7632","ACCT 405","W1","WI: Auditing","3","  WI","Lec","MWF","0800-0850","LUTR 170","Lingenfelter, Gabriele","5","Open",
"7633","ACCT 405","W2","WI: Auditing","3","  WI","Lec","MWF","1200-1250","FORBES 2070A","Lingenfelter, Gabriele","1","Open",
"7628","ACCT 451","1","Govt &amp; Nonprof Acctng &amp; Topics","3","","Lec","TR","0930-1045","LUTR 264","Frucot, Veronique","0","Closed",
"7634","ACCT 461","1","Intl Financial Reporting Stnds","3","","Lec","MWF","1300-1350","FORBES 2070A","Lingenfelter, Gabriele","2","Open",
"7635","ACCT 480","1","Internship in Accounting","3","","Int","","","ARR ","Lingenfelter, Gabriele","0","Closed",
"7930","ACCT 480","2","Internship in Accounting","3","","Int","","","ARR ","Morris, Joseph","0","Closed",
"7931","ACCT 480","3","Internship in Accounting","3","","Int","","","ARR ","Lindquist, Adria","0","Closed",
"7932","ACCT 480","4","Internship in Accounting","3","","Int","","","ARR ","Brooks, Abby-Gayle","0","Closed",
"6681","AMST 100","1M","The American Experiment","3","  AIWT","Lec","MWF","1100-1150","MCM 310","Busch, Elizabeth","0","Closed",
"6682","AMST 100","2M","The American Experiment","3","  AIWT","Lec","MWF","1400-1450","MCM 112","Kundmueller, Michelle","3","Open",
"6683","AMST 100","3","The American Experiment","3","  AIWT","Lec","MWF","1500-1550","MCM 112","Kundmueller, Michelle","2","Open",
"6684","AMST 100","4M","The American Experiment","3","  AIWT","Lec","MW","1600-1715","MCM 160","Hadley, Travis","2","Open",
"6685","AMST 100","5","The American Experiment","3","  AIWT","Lec","MW","1800-1915","MCM 257","Hadley, Travis","1","Open",
"6686","AMST 100","6","The American Experiment","3","  AIWT","Lec","MW","1930-2045","MCM 257","Hadley, Travis","3","Open",
"6687","AMST 100","7M","The American Experiment","3","  AIWT","Lec","TR","1500-1615","MCM 101","White, Jonathan","7","Open",
"6688","AMST 100","8","The American Experiment","3","  AIWT","Lec","MWF","1000-1050","MCM 112","Busch, Elizabeth","0","Closed",
"6689","AMST 100","9","The American Experiment","3","  AIWT","Lec","TR","1930-2045","MCM 316","Kundmueller, Mark","2","Open",
"6690","AMST 120","1M","Encounters w/ the Constitution","3","","Lec","TR","1100-1215","MCM 314","White, Jonathan","0","Closed",
"6691","AMST 200","1","Evolution-American Experiment","3","  AIII  ","Lec","MWF","1300-1350","MCM 164","Hadley, Travis","0","Closed",
"6692","AMST 300","1","The American Exp: Global Infl","3","  AIGM","Lec","TR","0930-1045","MCM 362","McCarthy, William","0","Closed",
"7783","AMST 335","W1","WI: Moot Court","3","  WI","Lec","M","1800-2100","MCM 360","Kundmueller, Michelle","3","Open",
"6693","AMST 340","1","America at Sea","3","","Lec","MW","1800-1915","MCM 114","Wright, Timothy","0","Closed",
"7813","AMST 399","1","Ind St: Epic in America","1 - 3","","Ind","","","ARR ","Kundmueller, Michelle","0","Closed",
"7971","AMST 399","2","Ind St: Flag Desecration in Am","1 - 3","","Ind","","","ARR ","White, Jonathan","0","Closed",
"6610","ANTH 200","1M","Human Adaptation","3","  AINW","Lec","TR","0800-0915","LUTR 121","Timmer, Andria","12","Open",
